"12532585","JE434881","2021-11-04T15:00:00.000","074XX S PHILLIPS AVE","0560","ASSAULT","SIMPLE","APARTMENT",FALSE,FALSE,"0334","003","7","43","08A","1193935","1856145","2021","2021-11-11T15:51:52.000","41.760201543","-87.564782892",41.760201543,-87.564782892,{"address": "", "city": "", "state": "", "zip": ""},"43","22538","39","245","37","24","18","213"
"12531749","JE433995","2021-11-04T14:55:00.000","007XX W BELMONT AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT",FALSE,TRUE,"1934","019","44","6","04A","1170731","1921472","2021","2021-11-11T15:51:52.000","41.940001718","-87.647914376",41.940001718,-87.647914376,{"address": "", "city": "", "state": "", "zip": ""},"38","4449","57","730","25","22","5","18"
"12532001","JE434258","2021-11-04T14:45:00.000","011XX W 21ST ST","0560","ASSAULT","SIMPLE","COMMERCIAL / BUSINESS OFFICE",FALSE,FALSE,"1235","012","25","31","08A","1168944","1890050","2021","2021-11-11T15:51:52.000","41.853816728","-87.655394673",41.853816728,-87.655394673,{"address": "", "city": "", "state": "", "zip": ""},"8","14920","33","251","26","43","15","158"
"12532501","JE434971","2021-11-04T14:30:00.000","013XX N ARTESIAN AVE","0560","ASSAULT","SIMPLE","APARTMENT",FALSE,FALSE,"1423","014","26","24","08A","1159832","1908805","2021","2021-11-11T15:51:52.000","41.905474716","-87.688321772",41.905474716,-87.688321772,{"address": "", "city": "", "state": "", "zip": ""},"10","21560","25","302","49","4","7","62"
"12531974","JE434266","2021-11-04T14:00:00.000","045XX S CALUMET AVE","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT",FALSE,FALSE,"0215","002","3","38","05","1179192","1875041","2021","2021-11-11T15:51:52.000","41.812402736","-87.618239656",41.812402736,-87.618239656,{"address": "", "city": "", "state": "", "zip": ""},"12","4301","4","162","9","36","24","98"
"12532241","JE434564","2021-11-04T14:00:00.000","053XX S WESTERN AVE","0560","ASSAULT","SIMPLE","GOVERNMENT BUILDING / PROPERTY",FALSE,FALSE,"0923","009","15","63","08A","1161278","1869172","2021","2021-11-11T15:51:52.000","41.796687726","-87.684110808",41.796687726,-87.684110808,{"address": "", "city": "", "state": "", "zip": ""},"49","14924","61","778","3","56","23","120"
"12531819","JE434055","2021-11-04T14:00:00.000","059XX N KOLMAR AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE",FALSE,FALSE,"1711","017","39","12","05","1145016","1939114","2021","2021-11-11T15:51:52.000","41.988938068","-87.741978211",41.988938068,-87.741978211,{"address": "", "city": "", "state": "", "zip": ""},"28","22532","12","713","38","18","1","53"
"12531684","JE433820","2021-11-04T13:51:00.000","101XX S STATE ST","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT",FALSE,FALSE,"0511","005","9","49","05","1178048","1837574","2021","2021-11-11T15:51:52.000","41.709615153","-87.623569718",41.709615153,-87.623569718,{"address": "", "city": "", "state": "", "zip": ""},"30","21861","45","570","43","19","10","250"
"12531779","JE434161","2021-11-04T13:47:00.000","022XX W JACKSON BLVD","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC GROUNDS",FALSE,FALSE,"1225","012","27","28","08A","1161324","1898653","2021","2021-11-11T15:51:52.000","41.877585867","-87.683123746",41.877585867,-87.683123746,{"address": "", "city": "", "state": "", "zip": ""},"48","21184","29","89","46","28","15","139"
"12531750","JE433952","2021-11-04T13:45:00.000","0000X E MARQUETTE RD","051A","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT",FALSE,TRUE,"0322","003","6","69","04A","1178010","1860610","2021","2021-11-11T15:51:52.000","41.77282959","-87.623012547",41.77282959,-87.623012547,{"address": "", "city": "", "state": "", "zip": ""},"53","22260","67","122","32","60","18","211"
